"","Plot","Date","PlotType","Location","Year","Inout","max_points","TotalHits","Total_Percent_Cover","FNA","FNP","GNP","L","SNP","FNB","GIP","SSNP","WL","FNP-Dead","GNP-Dead","SSNP-Dead","FIP","TNP","TNP-Dead","SNP-Dead","FIB"
"27","TallForb-23","2022-07-28","PTF","23",2022,0,150,276,184,4,96,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","TallForb-23_1","2023-07-18","PTF","23_1",2023,1,111,204,183.783783783784,47.7477477477478,78.3783783783784,14.4144144144144,43.2432432432432,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","TallForb-28","2022-08-02","PTF","28",2022,0,150,175,116.666666666667,6,61.3333333333333,18,25.3333333333333,2.66666666666667,1.33333333333333,0,0,0,1.33333333333333,0.666666666666667,0,0,0,0,0,0
"30","TallForb-30","2022-08-01","PTF","30",2022,0,150,308,205.333333333333,8.66666666666667,92.6666666666667,43.3333333333333,50.6666666666667,2.66666666666667,0,0,0,1.33333333333333,0,0,0,1.33333333333333,4.66666666666667,0,0,0
"31","TallForb-30_1","2023-07-13","PTF","30_1",2023,1,112,348,310.714285714286,49.1071428571429,126.785714285714,56.25,76.7857142857143,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0
"32","TallForb-37","2022-07-19","PTF","37",2022,0,150,267,178,6.66666666666667,86,28,50.6666666666667,6,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0
"33","TallForb-56","2023-07-19","PTF","56",2023,0,150,246,164,40,57.3333333333333,22,38,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"34","TallForb-56_1","2023-07-19","PTF","56_1",2023,1,112,184,164.285714285714,13.3928571428571,75,33.9285714285714,26.7857142857143,0.892857142857143,0,0,14.2857142857143,0,0,0,0,0,0,0,0,0
"35","TallForb-57","2023-07-20","PTF","57",2023,0,150,207,138,12.6666666666667,38,39.3333333333333,36.6666666666667,6.66666666666667,0.666666666666667,0,4,0,0,0,0,0,0,0,0,0
"36","TallForb-60","2022-07-13","PTF","60",2022,0,150,194,129.333333333333,0,38,24.6666666666667,64,0,0,0,0,0,1.33333333333333,0.666666666666667,0,0.666666666666667,0,0,0,0
"37","TallForb-64","2022-07-12","PTF","64",2022,0,150,221,147.333333333333,0,40,20.6666666666667,54,14.6666666666667,0,0,1.33333333333333,6,0.666666666666667,2.66666666666667,0,0.666666666666667,6.66666666666667,0,0,0
"38","TallForb-68","2023-07-24","PTF","68",2023,0,150,331,220.666666666667,15.3333333333333,72,15.3333333333333,50.6666666666667,59.3333333333333,0,0,0,8,0,0,0,0,0,0,0,0
"39","TallForb-72","2022-08-08","PTF","72",2022,0,150,231,154,0,53.3333333333333,36,33.3333333333333,9.33333333333333,0,0,0,6,0,0,0,2,14,0,0,0
"40","TallForb-73","2022-08-08","PTF","73",2022,0,150,223,148.666666666667,1.33333333333333,42,42.6666666666667,51.3333333333333,11.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"41","TallForb-7_1","2023-07-12","PTF","7_1",2023,1,112,305,272.321428571429,25,127.678571428571,33.0357142857143,67.8571428571429,7.14285714285714,0,0,0,9.82142857142857,0,0,0,0,0,0,0,1.78571428571429
